sprint_item_id,week,segment,agent_owner,source,asset,goal_metric,target_count,status,approval_required,next_action,stop_rule
tql_001,1,commercial_replan,agent4_publisher,MAX,content/pipeline/approval/max-b2b-001-commercial-replan-approval-card.md,content_ready,1,published_manual_unverified,yes,collect_post_url_and_first_reactions,"Не менять Bitrix и не писать людям первыми без отдельного approval"
tql_002,1,warehouse_design,agent4_publisher,MAX,content/pipeline/approval/max-b2b-002-warehouse-approval-card.md,content_ready,1,published_manual_unverified_public,yes,collect_exact_post_url_or_wait_maxstat_index,"Публикация вручную подтверждена Яникой; не создавать лиды/сделки без входящего обращения и отдельного approval"
tql_003,1,commercial_reconstruction,agent4_publisher,MAX,content/pipeline/approval/max-b2b-003-reconstruction-error-approval-card.md,content_ready,1,approved,yes,prepare_manual_publication,"Не публиковать автоматически; только ручная публикация или отдельная команда Яники"
tql_004,1,retail_fitout,agent4_publisher,MAX,content/pipeline/drafts/max-b2b-first-wave-2026-05-16.md#MAX-B2B-004,content_ready,1,draft,yes,prepare_final_post,"Не публиковать без approval"
tql_005,1,b2b_kp_readiness,agent4_publisher,MAX,content/pipeline/drafts/max-b2b-first-wave-2026-05-16.md#MAX-B2B-005,content_ready,1,draft,yes,prepare_final_post,"Не публиковать без approval"
tql_006,1,all_b2b,agent5_crm,Bitrix24,data/reports/bitrix_reactivation_readonly_plan.md,crm_readiness,1,partial_limited_audit,yes,need_full_audit,"Не менять CRM без approval"
tql_007,2,warehouse_design,agent1_scout,Tender,content/library/sources/tender-filter-pack-vpp.csv#tender_001,source_candidates,3,ready,yes,find_candidates_when_network_available,"Не регистрироваться и не подавать без approval"
tql_008,2,commercial_replan,agent1_scout,Tender,content/library/sources/tender-filter-pack-vpp.csv#tender_004,source_candidates,3,ready,yes,find_candidates_when_network_available,"Не регистрироваться и не подавать без approval"
tql_009,2,retail_fitout,agent6_outreach,ABM,content/growth/approved-only-outreach-templates-vpp.md,company_shortlist,10,planned,yes,prepare_shortlist,"Не отправлять письма без approval"
tql_010,2,commercial_replan,agent3_processor,AI_manager,data/reports/vpp_ai_manager_dry_run.md,qualified_lead_scenario,1,ready,no,use_existing_scenario,"Не создавать Bitrix-сделку без approval"
tql_011,2,warehouse_design,agent3_processor,AI_manager,data/reports/vpp_ai_manager_dry_run.md,qualified_lead_scenario,1,ready,no,use_existing_scenario,"Не создавать Bitrix-сделку без approval"
tql_012,2,commercial_reconstruction,agent3_processor,AI_manager,data/reports/vpp_ai_manager_dry_run.md,qualified_lead_scenario,1,planned,no,add_reconstruction_scenario,"Не создавать Bitrix-сделку без approval"
tql_013,3,commercial_replan,agent5_crm,MAX_OR_Bitrix,content/growth/acquisition-route-pack-vpp.csv#route_001,qualified_leads,1,planned,yes,manual_test_after_approval,"Остановиться после первого входящего вопроса и зафиксировать качество"
tql_014,3,warehouse_design,agent5_crm,Tender,content/growth/acquisition-route-pack-vpp.csv#route_002,qualified_leads,1,planned,yes,manual_test_after_approval,"Остановиться до подачи заявки"
tql_015,3,commercial_reconstruction,agent5_crm,MAX_OR_Tender,content/growth/acquisition-route-pack-vpp.csv#route_003,qualified_leads,1,planned,yes,manual_test_after_approval,"Не обещать цену без исходных данных"
