channel_id,channel_name,status,priority_wave,source,source_type,traffic_channel,utm_source,utm_medium,default_first_touch_channel,default_last_touch_channel,owner_agent,flow,notes
tender_email,Gmail tenders,active,wave_1,tender_email,tender,tender,gmail,email,email,email,agent2_collector,B,"Current MVP source for engineering tenders"
tg_chat,Telegram chats,active,wave_1,tg_chat,outbound,outbound,telegram,social,public_chat,private_message,agent6_outreach,A_B,"Current MVP source for Telegram demand signals"
outbound,Outbound manual,active,wave_1,outbound,outbound,outbound,manual,outbound,manual_outreach,reply,agent6_outreach,A_B,"Manual and agent-assisted outbound touchpoints"
avito,Avito,manual,wave_1,avito,marketplace,marketplace,avito,marketplace,marketplace_message,platform_reply,agent2_collector,A_B,"Track manually before automation"
profi,Profi.ru,manual,wave_1,profi,marketplace,marketplace,profi,marketplace,platform_message,platform_reply,agent2_collector,A,"Track manually before collector"
yandex_services,Yandex Services,manual,wave_1,yandex_services,marketplace,marketplace,yandex_services,marketplace,platform_message,platform_reply,agent2_collector,A_B,"Track manually before collector"
yandex_maps,Yandex Maps,manual,wave_1,yandex_maps,maps,maps,yandex_maps,local_search,map_card,call_or_message,agent4_publisher,A_B,"Manual calls and messages from map card"
referral,Referrals,manual,wave_1,referral,partner,referral,referral,referral,partner_intro,manager_contact,agent5_crm,A_B,"Track who referred the client"
old_inquiry,Old inquiries,manual,wave_1,old_inquiry,owned_base,owned_base,crm,reactivation,old_lead,manager_contact,agent5_crm,A_B,"Reactivation of old leads and existing contacts"
yandex_direct,Yandex Direct,planned,wave_2,yandex_direct,paid_ads,paid,yandex,cpc,landing,form,agent4_publisher,A_B,"From lecturer dashboard. Requires landing UTM budget and goals"
google_ads,Google Ads,planned,wave_3,google_ads,paid_ads,paid,google,cpc,landing,form,agent4_publisher,A_B,"From lecturer dashboard. Later after geo and landing decisions"
vk_ads,VK Ads,planned,wave_2,vk_ads,paid_ads,paid,vk,cpc,landing,form,agent4_publisher,A_B,"From lecturer dashboard. Requires landing and UTM"
meta_ads,Meta Ads,planned,wave_3,meta_ads,paid_ads,paid,meta,cpc,landing,form,agent4_publisher,A_B,"From lecturer dashboard. Requires legal and geo check"
telegram_ads,Telegram Ads,planned,wave_2,telegram_ads,paid_ads,paid,telegram,cpc,landing_or_bot,form_or_message,agent4_publisher,A_B,"From lecturer dashboard. Requires UTM or bot entry"
dzen_rsy,Dzen and RSY,planned,wave_2,dzen_rsy,paid_ads,paid,dzen,cpc,landing,form,agent4_publisher,A_B,"From lecturer dashboard. Separate paid traffic from organic content"
influencer_tg,Influencer TG,planned,wave_2,influencer_tg,influencer,paid,telegram,influencer,influencer_post,landing_or_message,agent4_publisher,A_B,"From lecturer dashboard. Use unique link or promo per placement"
seo_organic,SEO organic,planned,wave_2,seo_organic,organic,organic,seo,organic,search,form,agent4_publisher,A_B,"From lecturer dashboard. Needs site or landing pages"
