idea_id,title,rubric,main_pain,offer_angle,cta,source_id,norm_check_needed,status,priority,visual_type,notes
IDEA-001,5 признаков риска перепланировки,Проверь риск,Человек не понимает есть ли риск,Проверка рисков до банка или сделки,Напишите ПРОВЕРКА,SRC-005,yes,launch_queue,high,card_risk,Опираемся на язык клиента
IDEA-002,Что банк видит в перепланировке,Банк / продажа / документы,Банк может остановить сделку,Проверка до ипотеки и сделки,Напишите ПРОВЕРКА,SRC-005,yes,launch_queue,high,card_explainer,Нужен простой язык без юридической воды
IDEA-003,Можно ли убрать перегородку,Можно / нельзя,Человек боится ошибки в ремонте,Инженерный разбор до ремонта,Напишите ПРОВЕРКА,SRC-003,yes,new,high,short_video,Формат короткого ответа с пояснением
IDEA-004,3 ошибки до начала ремонта,Проверь риск,Люди начинают ремонт без проверки,Проверка до работ и лишних трат,Напишите ПРОВЕРКА,SRC-005,yes,launch_queue,high,card_3_risks,Подходит под короткую карусель
IDEA-005,Когда банк может завернуть квартиру,Банк / продажа / документы,Страх срыва ипотеки или сделки,Проверка объекта до продажи,Напишите ПРОВЕРКА,SRC-005,yes,new,high,card_risk,Писать языком сделки
IDEA-006,Что считается перепланировкой а что нет,Проверь риск,Человек путается в базовых понятиях,Первичный разбор без сложных терминов,Напишите ПРОВЕРКА,SRC-006,yes,new,high,card_explainer,Нужна проверка формулировок по нормам
IDEA-007,Почему соседи могут запустить проблему,Проверь риск,Страх жалобы и проверки,Объяснить где начинается риск,Напишите ПРОВЕРКА,SRC-005,yes,new,medium,short_video,Хорошо зайдет как объяснялка
IDEA-008,Красные линии в БТИ простыми словами,Банк / продажа / документы,Человек не понимает документы БТИ,Проверка документов до сделки,Напишите ПРОВЕРКА,SRC-005,yes,launch_queue,high,doc_card,Нужен визуал плана
IDEA-009,Можно ли переносить кухню,Можно / нельзя,Риск испортить ремонт и не согласовать,Разбор типового вопроса до ремонта,Напишите ПРОВЕРКА,SRC-005,yes,launch_queue,high,card_can_cannot,Один из самых горячих вопросов
IDEA-010,Можно ли сносить ненесущую стену,Можно / нельзя,Человек думает что ненесущую можно всегда,Инженерная проверка до работ,Напишите ПРОВЕРКА,SRC-005,yes,new,high,card_can_cannot,Важно убрать самоуверенность
IDEA-011,Можно ли объединять лоджию с комнатой,Можно / нельзя,Популярная идея с высоким риском,Проверка решения до ремонта,Напишите ПРОВЕРКА,SRC-005,yes,launch_queue,high,card_can_cannot,Хорошая тема для охвата
IDEA-012,Можно ли переносить мокрую зону,Можно / нельзя,Страх дорогой ошибки после ремонта,Разбор опасного решения заранее,Напишите ПРОВЕРКА,SRC-006,yes,new,high,short_video,Проверять по актуальным нормам
IDEA-013,Можно ли делать проем в несущей стене,Можно / нельзя,Человек боится отказа и штрафа,Проверка допустимости до начала работ,Напишите ПРОВЕРКА,SRC-005,yes,new,high,card_can_cannot,Лучше с четким дисклеймером по обследованию
IDEA-014,Что делать если перепланировка уже сделана,Разбор случая,Самая острая боль после факта,Путь из проблемы в решение,Напишите ПРОВЕРКА,SRC-005,yes,launch_queue,high,card_case,Это одна из главных денежных тем
IDEA-015,Как понять узаконят ли самоволку,Разбор случая,Человек боится платить впустую,Предварительная оценка шансов,Напишите ПРОВЕРКА,SRC-005,yes,new,high,card_risk,Нужен спокойный тон без обещаний
IDEA-016,Продажа квартиры встала из-за перепланировки,Разбор случая,Срывается сделка и человек в панике,Разбор риска до продажи,Напишите ПРОВЕРКА,SRC-005,yes,launch_queue,high,card_case,Писать очень жизненно
IDEA-017,Покупатель нашел перепланировку перед сделкой,Разбор случая,Потеря покупателя и цены,Проверка до подписания документов,Напишите ПРОВЕРКА,SRC-005,yes,new,high,short_video,Подходит для ролика 30 секунд
IDEA-018,Банк запросил документы на перепланировку,Банк / продажа / документы,Человек не знает что отвечать банку,Подготовка к ипотечной проверке,Напишите ПРОВЕРКА,SRC-005,yes,launch_queue,high,doc_card,Хорошая тема для лидов
IDEA-019,Какие документы нужны на первый разбор,Банк / продажа / документы,Люди не понимают с чего начать,Упростить первый шаг в заявку,Напишите ПРОВЕРКА,SRC-004,no,launch_queue,medium,cta_card,Должно снижать страх входа
IDEA-020,Сколько стоит ошибка без проверки заранее,Проверь риск,Человек не видит цену промаха,Показать выгоду ранней проверки,Напишите ПРОВЕРКА,SRC-005,no,new,high,card_3_risks,Лучше через примеры потерь
IDEA-021,Почему дешевле проверить до покупки квартиры,Банк / продажа / документы,Люди покупают объект с проблемой,Проверка перед покупкой,Напишите ПРОВЕРКА,SRC-005,yes,new,medium,card_explainer,Подходит и для риэлторов
IDEA-022,Как мы разбираем случай клиента шаг за шагом,Кейс проектной организации,Не хватает доверия к процессу,Показать спокойную систему работы,Напишите ПРОВЕРКА,SRC-004,no,launch_queue,medium,trust_process,Нужен визуал рабочего процесса
IDEA-023,Что клиент получает после слова ПРОВЕРКА,Кейс проектной организации,Человек боится пустой консультации,Упростить вход в диалог,Напишите ПРОВЕРКА,SRC-004,no,launch_queue,high,cta_card,Должно усиливать конверсию
IDEA-024,Чем проектная организация лучше случайного посредника,Кейс проектной организации,Нет понимания кому доверять,Подчеркнуть инженерную основу,Напишите ПРОВЕРКА,SRC-004,no,new,medium,trust_post,Важно без агрессии
IDEA-025,Что значит СРО и НОПРИЗ для клиента,Кейс проектной организации,Маркер доверия непонятен обычному человеку,Перевести статус в выгоду,Напишите ПРОВЕРКА,SRC-004,no,new,medium,card_explainer,Писать очень простыми словами
IDEA-026,Как выглядит работа под ключ без беготни,Кейс проектной организации,Человек боится бюрократии и хождения по кабинетам,Показать путь к результату,Напишите ПРОВЕРКА,SRC-004,no,launch_queue,high,card_case,Хорошо ложится на оффер
IDEA-027,Новое правило или миф по перепланировкам,Новости и практика,Люди путаются в слухах и чатах,Разобрать что правда а что нет,Напишите ПРОВЕРКА,SRC-006,yes,launch_queue,medium,news_card,Использовать только после проверки нормы
IDEA-028,Что изменилось в практике банков и сделок,Новости и практика,Рынок меняется а люди живут старыми представлениями,Показать актуальный риск сегодня,Напишите ПРОВЕРКА,SRC-006,yes,launch_queue,medium,news_card,Подходит для регулярной рубрики
IDEA-029,Частый вопрос недели из Avito или MAX,Новости и практика,Нужно чувствовать живой рынок,Отвечаем на горячий вопрос коротко,Напишите ПРОВЕРКА,SRC-005,no,launch_queue,medium,short_video,Нужен живой разговорный тон
IDEA-030,3 ситуации когда нужно писать прямо сегодня,Проверь риск,Человек откладывает и теряет время,Подтолкнуть к быстрому обращению,Напишите ПРОВЕРКА,SRC-005,no,new,high,cta_card,Финальная продающая тема без перегруза
